target position,target object,distractor object position 1,distractor object 1,distractor object position 2,distractor object 2
6,K3 (shoe),3,H1 (computer mouse),2,E3 (water bottle)
6,F6 (cup),4,C5 (clock),1,H3 (computer mouse)
1,H2 (computer mouse),7,M1 (plate),5,E2 (water bottle)
2,A5 (book),4,G2 (phone),5,E3 (water bottle)
5,A2 (book),7,F4 (cup),3,H2 (computer mouse)
3,C5 (clock),7,D1 (potted plant),5,K2 (shoe)
4,F3 (cup),6,D2 (potted plant),2,D1 (potted plant)
3,D2 (potted plant),7,H1 (computer mouse),1,F3 (cup)
7,E3 (water bottle),4,C5 (clock),3,K2 (shoe)
5,D2 (potted plant),2,E2 (water bottle),1,G1 (phone)
