target position,target object,distractor object position 1,distractor object 1,distractor object position 2,distractor object 2
3,D1 (potted plant),1,C2 (clock),5,C5 (clock)
7,F1 (cup),5,E4 (water bottle),4,M2 (plate)
5,F2 (cup),3,A4 (book),2,G3 (phone)
2,F1 (cup),5,M3 (plate),7,H2 (computer mouse)
4,A5 (book),6,E4 (water bottle),1,K1 (shoe)
1,K3 (shoe),7,A4 (book),6,H3 (computer mouse)
4,G4 (phone),7,A5 (book),2,K2 (shoe)
5,F2 (cup),2,E1 (water bottle),1,G1 (phone)
1,E2 (water bottle),4,H3 (computer mouse),6,C2 (clock)
6,H2 (computer mouse),1,M3 (plate),4,D1 (potted plant)
